"DETECTION_METHOD","FINES"
"Mobile camera",972
"Police issued",100
"Red light camera",148
"Mobile camera",1175
"Police issued",103
"Red light camera",245
"Mobile camera",327
"Police issued",12
"Red light camera",40
"Mobile camera",94
"Red light camera",13
"Police issued",0
"Fixed camera",491
"Mobile camera",871
"Police issued",719
"Fixed camera",1155
"Mobile camera",2501
"Police issued",1311
"Fixed camera",2191
"Mobile camera",3960
"Police issued",1711
"Fixed camera",808
"Mobile camera",1099
"Police issued",456
"Fixed camera",171
"Mobile camera",198
"Police issued",2
"Fixed or mobile camera",474
"Police issued",294
"Fixed or mobile camera",1128
"Police issued",504
"Fixed or mobile camera",1692
"Police issued",536
"Fixed or mobile camera",561
"Police issued",168
"Fixed camera",85
"Mobile camera",529
"Police issued",706
"Fixed camera",349
"Mobile camera",1752
"Police issued",1515
"Fixed camera",673
"Mobile camera",2695
"Fixed camera",327
"Mobile camera",1056
"Police issued",539
"Fixed camera",514
"Mobile camera",1555
"Fixed camera",3011
"Mobile camera",2190
"Police issued",1061
"Fixed camera",10596
"Mobile camera",8854
"Police issued",2022
"Fixed camera",17654
"Mobile camera",14350
"Police issued",2386
"Fixed camera",4860
"Mobile camera",3777
"Police issued",461
"Fixed camera",11578
"Mobile camera",7057
"Fixed camera",2
"Mobile camera",101
"Fixed camera",12
"Mobile camera",293
"Police issued",301
"Fixed camera",14
"Mobile camera",490
"Police issued",380
"Fixed camera",8
"Mobile camera",218
"Police issued",88
"Fixed camera",6
"Mobile camera",302
"Police issued",1
"Police issued",12
"Police issued",11
"Fixed camera",52
"Mobile camera",84
"Police issued",33
"Fixed camera",142
"Mobile camera",221
"Police issued",65
"Fixed camera",259
"Mobile camera",365
"Police issued",99
"Fixed camera",70
"Mobile camera",146
"Police issued",26
"Fixed camera",186
"Mobile camera",166
"Fixed camera",2
"Average speed camera",243
"Fixed camera",1055
"Mobile camera",5751
"Police issued",848
"Red light camera",963
"Unknown",0
"Average speed camera",581
"Fixed camera",2970
"Mobile camera",13870
"Police issued",1591
"Red light camera",3479
"Unknown",0
"Average speed camera",623
"Fixed camera",4809
"Mobile camera",19806
"Police issued",1909
"Red light camera",7557
"Unknown",0
"Average speed camera",97
"Fixed camera",1191
"Mobile camera",4523
"Police issued",360
"Red light camera",2251
"Mobile camera",12
"Police issued",2
"Fixed camera",462
"Mobile camera",207
"Police issued",70
"Fixed camera",1090
"Mobile camera",426
"Police issued",75
"Fixed camera",1863
"Mobile camera",618
"Police issued",60
"Fixed camera",570
"Mobile camera",214
"Fixed camera",81
"Mobile camera",20
"Police issued",1556
"Police issued",2448
"Police issued",2485
"Police issued",544
"Police issued",3
"Police issued",1979
"Police issued",2153
"Police issued",1812
"Police issued",249
"Police issued",381
"Police issued",692
"Police issued",812
"Police issued",229
"Police issued",24
"Police issued",69
"Police issued",73
"Police issued",18
"Police issued",11
"Police issued",7
"Fixed camera",35372
"Mobile camera",3518
"Red light camera",21650
"Police issued",12
"Mobile camera",411
"Police issued",73
"Red light camera",28
"Mobile camera",1077
"Police issued",114
"Red light camera",49
"Mobile camera",1344
"Police issued",102
"Red light camera",98
"Mobile camera",334
"Police issued",19
"Red light camera",22
"Mobile camera",160
"Red light camera",5
"Police issued",0
"Fixed camera",476
"Police issued",755
"Fixed camera",1140
"Mobile camera",2305
"Police issued",1380
"Fixed camera",2030
"Mobile camera",3651
"Police issued",1717
"Fixed camera",822
"Mobile camera",1052
"Police issued",465
"Fixed camera",150
"Mobile camera",185
"Police issued",6
"Fixed or mobile camera",371
"Police issued",384
"Fixed or mobile camera",854
"Police issued",580
"Fixed or mobile camera",1180
"Police issued",675
"Fixed or mobile camera",393
"Fixed camera",132
"Mobile camera",635
"Police issued",712
"Fixed camera",528
"Mobile camera",2071
"Police issued",1386
"Fixed camera",904
"Mobile camera",3351
"Fixed camera",432
"Mobile camera",1202
"Police issued",428
"Fixed camera",621
"Mobile camera",1723
"Fixed camera",2842
"Mobile camera",2289
"Police issued",1012
"Fixed camera",10154
"Mobile camera",8754
"Police issued",1889
"Fixed camera",17210
"Mobile camera",13235
"Police issued",2112
"Fixed camera",4889
"Mobile camera",3723
"Police issued",351
"Fixed camera",11040
"Mobile camera",6547
"Mobile camera",100
"Police issued",124
"Mobile camera",400
"Police issued",280
"Mobile camera",618
"Police issued",325
"Mobile camera",269
"Police issued",65
"Mobile camera",376
"Police issued",11
"Police issued",4
"Mobile camera",1
"Fixed camera",61
"Mobile camera",73
"Police issued",25
"Fixed camera",197
"Mobile camera",266
"Police issued",60
"Fixed camera",315
"Police issued",82
"Mobile camera",136
"Police issued",16
"Fixed camera",208
"Mobile camera",191
"Unknown",0
"Average speed camera",159
"Fixed camera",802
"Mobile camera",6221
"Police issued",765
"Unknown",0
"Average speed camera",385
"Fixed camera",2514
"Mobile camera",14314
"Police issued",1234
"Red light camera",3557
"Unknown",0
"Average speed camera",418
"Fixed camera",3824
"Mobile camera",19385
